streak_to_win,probability
1,1.00000000
2,1.00000000
3,0.99978932
4,0.96403350
5,0.77350139
6,0.50510021
7,0.29004008
8,0.15565544
9,0.08055576
10,0.04091705
11,0.02059579
12,0.01026708
13,0.00508979
14,0.00252803
15,0.00124790
16,0.00061843
17,0.00030151
18,0.00014941
19,0.00007396
20,0.00003658
21,0.00001799
22,0.00000941
23,0.00000408
24,0.00000234
25,0.00000104
26,0.00000051
27,0.00000025
28,0.00000015
29,0.00000006
30,0.00000007
31,0.00000000
32,0.00000000
33,0.00000001
34,0.00000000
35,0.00000000
36,0.00000000
37,0.00000000
38,0.00000000
39,0.00000000
40,0.00000000
41,0.00000000
42,0.00000000
43,0.00000000
44,0.00000000
45,0.00000000
46,0.00000000
47,0.00000000
48,0.00000000
49,0.00000000
50,0.00000000
51,0.00000000
52,0.00000000
